Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,11/18/2022 7:47,FALSE,Missing Mileage from WU,0.75,79,0:05:00,0,0,--,--,6:40,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:00.0,1,0,0:00:00,0:05:00,--,--
Running,11/18/2022 7:20,FALSE,Saginaw Running,2.26,250,0:16:46,0,0,170,182,7:26,6:19,--,--,1.28,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:53.5,3,0,0:16:46,0:22:53,594,597
Running,11/17/2022 15:27,FALSE,Saginaw Running,4,437,0:27:28,0,0,168,176,6:52,6:09,--,--,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,5,0,0:27:28,0:27:28,591,600
Treadmill Running,11/17/2022 7:57,FALSE,Treadmill Running,2,221,0:14:42,0,0,166,173,7:20,5:15,--,--,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,3,0,0:14:42,0:14:42,581,581
Running,11/17/2022 7:25,FALSE,Saginaw Running,4,439,0:28:50,0,0,170,182,7:12,6:36,3,3,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,5,0,0:28:50,0:28:50,591,600
Treadmill Running,11/17/2022 7:05,FALSE,Treadmill Running,1.85,196,0:12:37,0,0,171,194,6:49,4:49,--,--,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,12,0,0:12:35,0:12:37,596,596
Running,11/17/2022 6:25,FALSE,Saginaw Running,3.01,331,0:22:16,0,0,171,190,7:24,6:37,--,--,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.0,4,0,0:22:15,0:22:20,594,597
Treadmill Running,11/16/2022 8:15,FALSE,Treadmill Running,2.01,221,0:14:37,0,0,165,224,7:17,5:21,--,--,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,3,0,0:14:36,0:14:44,615,615
Running,11/16/2022 7:28,FALSE,Saginaw Running,6,659,0:43:28,0,0,167,180,7:14,6:29,15,15,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,7,0,0:43:27,0:43:28,585,600
Running,11/15/2022 17:23,FALSE,Saginaw Running,3,329,0:21:03,0,0,169,176,7:01,6:31,7,7,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,4,0,0:21:03,0:21:03,591,600
Running,11/15/2022 7:59,FALSE,Saginaw Running,1,109,07:33.4,0,0,169,177,7:32,5:34,--,--,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,2,0,07:32.7,07:33.4,594,594
Treadmill Running,11/15/2022 7:44,FALSE,Treadmill Running,1,111,07:32.1,0,0,163,167,7:31,6:53,--,--,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,2,0,07:31.5,07:32.1,676,676
Treadmill Running,11/15/2022 7:11,FALSE,Treadmill Running,4.3,430,0:28:07,0,0,168,215,6:32,2:57,--,--,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:27.8,21,0,0:28:04,0:28:07,--,--
Running,11/15/2022 6:30,FALSE,Saginaw Running,3,332,0:22:09,0,0,167,174,7:23,6:09,--,--,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,4,0,0:22:08,0:23:39,594,597
